Bucket1,Bucket1Blue,Bucket1Red,Bucket2,Bucket2Blue,Bucket2Red,wins
1,0,1,99,50,49,747939
1,1,0,99,49,50,252285
2,0,2,98,50,48,745069
2,1,1,98,49,49,500489
2,2,0,98,48,50,255115
3,0,3,97,50,47,742371
3,1,2,97,49,48,580079
3,2,1,97,48,49,418692
3,3,0,97,47,50,257264
4,0,4,96,50,46,739609
4,1,3,96,49,47,619673
4,2,2,96,48,48,500529
4,3,1,96,47,49,380566
4,4,0,96,46,50,260482
5,0,5,95,50,45,736406
5,1,4,95,49,46,641712
5,2,3,95,48,47,547576
5,3,2,95,47,48,452497
5,4,1,95,46,49,357769
5,5,0,95,45,50,263047
6,0,6,94,50,44,734178
6,1,5,94,49,45,656444
6,2,4,94,48,46,577680
6,3,3,94,47,47,500319
6,4,2,94,46,48,422452
6,5,1,94,45,49,343367
6,6,0,94,44,50,266076
7,0,7,93,50,43,731657
7,1,6,93,49,44,665350
7,2,5,93,48,45,599040
7,3,4,93,47,46,533557
7,4,3,93,46,47,467067
7,5,2,93,45,48,400640
7,6,1,93,44,49,335465
7,7,0,93,43,50,269688
8,0,8,92,50,42,728300
8,1,7,92,49,43,671637
8,2,6,92,48,44,613856
8,3,5,92,47,45,557783
8,4,4,92,46,46,500032
8,5,3,92,45,47,442514
8,6,2,92,44,48,385846
8,7,1,92,43,49,329721
8,8,0,92,42,50,271551
9,0,9,91,50,41,725327
9,1,8,91,49,42,674090
9,2,7,91,48,43,624349
9,3,6,91,47,44,575483
9,4,5,91,46,45,524282
9,5,4,91,45,46,474901
9,6,3,91,44,47,424120
9,7,2,91,43,48,375541
9,8,1,91,42,49,324949
9,9,0,91,41,50,274540
10,0,10,90,50,40,722135
10,1,9,90,49,41,677917
10,2,8,90,48,42,633102
10,3,7,90,47,43,588569
10,4,6,90,46,44,544527
10,5,5,90,45,45,499350
10,6,4,90,44,46,454549
10,7,3,90,43,47,411314
10,8,2,90,42,48,366859
10,9,1,90,41,49,322460
10,10,0,90,40,50,277288
11,0,11,89,50,39,718567
11,1,10,89,49,40,679172
11,2,9,89,48,41,639820
11,3,8,89,47,42,599639
11,4,7,89,46,43,559846
11,5,6,89,45,44,519355
11,6,5,89,44,45,480120
11,7,4,89,43,46,440178
11,8,3,89,42,47,400380
11,9,2,89,41,48,360176
11,10,1,89,40,49,320401
11,11,0,89,39,50,281030
12,0,12,88,50,38,715972
12,1,11,88,49,39,680001
12,2,10,88,48,40,644797
12,3,9,88,47,41,607017
12,4,8,88,46,42,572283
12,5,7,88,45,43,535690
12,6,6,88,44,44,501271
12,7,5,88,43,45,464037
12,8,4,88,42,46,427799
12,9,3,88,41,47,391845
12,10,2,88,40,48,355647
12,11,1,88,39,49,319848
12,12,0,88,38,50,285720
13,0,13,87,50,37,713029
13,1,12,87,49,38,679574
13,2,11,87,48,39,647378
13,3,10,87,47,40,614856
13,4,9,87,46,41,582070
13,5,8,87,45,42,549393
13,6,7,87,44,43,515320
13,7,6,87,43,44,485304
13,8,5,87,42,45,450680
13,9,4,87,41,46,418545
13,10,3,87,40,47,385912
13,11,2,87,39,48,352779
13,12,1,87,38,49,319818
13,13,0,87,37,50,287294
14,0,14,86,50,36,709345
14,1,13,86,49,37,677935
14,2,12,86,48,38,649970
14,3,11,86,47,39,619404
14,4,10,86,46,40,590088
14,5,9,86,45,41,559595
14,6,8,86,44,42,529241
14,7,7,86,43,43,499438
14,8,6,86,42,44,470104
14,9,5,86,41,45,439587
14,10,4,86,40,46,409884
14,11,3,86,39,47,380779
14,12,2,86,38,48,350382
14,13,1,86,37,49,321462
14,14,0,86,36,50,290096
15,0,15,85,50,35,705400
15,1,14,85,49,36,678317
15,2,13,85,48,37,652025
15,3,12,85,47,38,624061
15,4,11,85,46,39,596211
15,5,10,85,45,40,567837
15,6,9,85,44,41,540704
15,7,8,85,43,42,513645
15,8,7,85,42,43,486206
15,9,6,85,41,44,458686
15,10,5,85,40,45,431892
15,11,4,85,39,46,404369
15,12,3,85,38,47,376388
15,13,2,85,37,48,349963
15,14,1,85,36,49,321454
15,15,0,85,35,50,294106
16,0,16,84,50,34,701659
16,1,15,84,49,35,677924
16,2,14,84,48,36,652007
16,3,13,84,47,37,625729
16,4,12,84,46,38,601349
16,5,11,84,45,39,575784
16,6,10,84,44,40,550817
16,7,9,84,43,41,524916
16,8,8,84,42,42,500446
16,9,7,84,41,43,474223
16,10,6,84,40,44,449182
16,11,5,84,39,45,423681
16,12,4,84,38,46,398663
16,13,3,84,37,47,373498
16,14,2,84,36,48,348338
16,15,1,84,35,49,323854
16,16,0,84,34,50,298176
17,0,17,83,50,33,698230
17,1,16,83,49,34,675647
17,2,15,83,48,35,652081
17,3,14,83,47,36,628456
17,4,13,83,46,37,605567
17,5,12,83,45,38,581761
17,6,11,83,44,39,558273
17,7,10,83,43,40,534295
17,8,9,83,42,41,510628
17,9,8,83,41,42,488219
17,10,7,83,40,43,464896
17,11,6,83,39,44,440594
17,12,5,83,38,45,418957
17,13,4,83,37,46,395009
17,14,3,83,36,47,371566
17,15,2,83,35,48,347967
17,16,1,83,34,49,324678
17,17,0,83,33,50,300666
18,0,18,82,50,32,695232
18,1,17,82,49,33,673201
18,2,16,82,48,34,651441
18,3,15,82,47,35,630555
18,4,14,82,46,36,608152
18,5,13,82,45,37,586831
18,6,12,82,44,38,565316
18,7,11,82,43,39,543573
18,8,10,82,42,40,521867
18,9,9,82,41,41,498969
18,10,8,82,40,42,478070
18,11,7,82,39,43,456004
18,12,6,82,38,44,435296
18,13,5,82,37,45,413986
18,14,4,82,36,46,391440
18,15,3,82,35,47,370267
18,16,2,82,34,48,348157
18,17,1,82,33,49,326547
18,18,0,82,32,50,304787
19,0,19,81,50,31,691679
19,1,18,81,49,32,670970
19,2,17,81,48,33,651150
19,3,16,81,47,34,630483
19,4,15,81,46,35,610452
19,5,14,81,45,36,590634
19,6,13,81,44,37,569936
19,7,12,81,43,38,549608
19,8,11,81,42,39,529870
19,9,10,81,41,40,509805
19,10,9,81,40,41,489076
19,11,8,81,39,42,468984
19,12,7,81,38,43,449373
19,13,6,81,37,44,429225
19,14,5,81,36,45,409149
19,15,4,81,35,46,388831
19,16,3,81,34,47,368143
19,17,2,81,33,48,348972
19,18,1,81,32,49,328389
19,19,0,81,31,50,308505
20,0,20,80,50,30,686777
20,1,19,80,49,31,668835
20,2,18,80,48,32,650262
20,3,17,80,47,33,631552
20,4,16,80,46,34,612487
20,5,15,80,45,35,594512
20,6,14,80,44,36,574983
20,7,13,80,43,37,556278
